URL,Company Name,Company URL,Job Title,Description Summary,Skills,Compensation,Location,Employment Type,Experience Level,Department,Crypto Focus,Source,Date
https://www.coinbase.com/careers/positions/7836969?gh_jid=7836969,Coinbase,coinbase.com,Payments Risk Analyst II,"As a Payments Risk Analyst II at Coinbase, you will be responsible for identifying and mitigating payments risk while ensuring a positive customer experience. The role involves analyzing data to assess risk, implementing fraud prevention strategies, and collaborating with various internal teams.",SQL; MySQL; data analysis; fraud detection; risk management; payments processing; quantitative analysis; dashboard creation,"£85,320 - £94,800 GBP",Remote - UK,Full-time,Mid,Risk Analytics,Infrastructure,Greenhouse: Coinbase,2026-04-27T05:25:41-04:00
https://job-boards.greenhouse.io/okx/jobs/7714574003,OKX,okx.com,"Quantitative Trader, Cash OTC",The Quantitative Trader will manage systematic trading strategies and manual trade execution while monitoring market sentiment and risk exposure. The role involves conducting post-trade analysis and collaborating with developers to enhance trading tools.,systematic trading; risk management; P&L analysis; cryptocurrency products; market sentiment analysis; Mathematics; Finance; Computer Science; Engineering; Physics,,"Hong Kong, Hong Kong SAR",Full-time,Mid,Trading,Trading,Greenhouse: OKX,2026-04-27T02:39:39-04:00
https://a16z.com/about/jobs/?gh_jid=7714551003,a16z,a16z.com,"Contractor, GTM Strategy & Ops, Speedrun",The role involves supporting go-to-market strategies and operations for the Speedrun team at a16z. It is a contractor position focused on enhancing operational efficiency.,,,Remote,Contract,,Operations,,Greenhouse: a16z,2026-04-26T22:38:46-04:00
https://www.revolut.com/en-US/careers/position/a45f8fd9-91d1-4261-83b6-c98651492e8d/,Revolut,revolut.com,Strategy & Operations Manager,"The Strategy & Operations Manager at Revolut will focus on building and optimizing scalable processes to support the company's hyper-growth. The role involves leading core infrastructure projects, managing vendor relationships, and developing strategic partnerships to enhance customer experience.",SQL; Python; R; project management; data analysis; vendor management; supply chain management; negotiation,,Remote,Full-time,Mid,Operations,,Jobs | Paradigm Job Board,2026-04-26T22:11:51.000Z
https://jobs.ashbyhq.com/Phantom/17b97e8b-e25b-4352-be35-f770524a96b4,Phantom,,Engineering Manager - DevX,,,,,,,,,Ashby: Phantom,2026-04-26T18:47:38.545+00:00
https://job-boards.greenhouse.io/okx/jobs/7712780003,OKX,okx.com,"Senior Engineer, Vulnerability Scanner","The Senior Engineer, Vulnerability Scanner will design and implement AI-driven security infrastructure to protect OKX's applications. The role involves building multi-agent systems and integrating security into the development lifecycle.",Python; Go; Java; Docker; Kubernetes; LangChain; LlamaIndex; AutoGen; CrewAI; LangGraph,,"Hong Kong, Hong Kong SAR; Singapore, Singapore",Full-time,Mid,Engineering,Security,Greenhouse: OKX,2026-04-26T12:10:20-04:00
https://coinbase.getro.com/companies/blackbird-labs-2/jobs/76268213-content-editor#content,Blackbird Labs,blackbirdlabs.com,Content Editor,"The Content Editor will join the Loyalty Team at Blackbird Labs, focusing on creating and editing content that enhances customer engagement. The role involves developing a strong content strategy to support the company's mission in the loyalty and payments sector.",writing; editing; content strategy; SEO; copywriting; digital marketing,USD 80k-100k / year + Equity,"New York, NY, USA",Full-time,Mid,Loyalty,,Jobs | Coinbase Job Board,2026-04-26T04:53:02.000Z
https://coinbase.getro.com/companies/world-2/jobs/76257848-tpm-software#content,World,worldcoin.org,"TPM, Software","The TPM, Software role at World involves overseeing the development of products that verify real human identities while preserving privacy. The company is focused on building a trusted network in the age of AI, with a rapidly growing user base and innovative applications.",AI; cryptography; mobile engineering; software development; project management,USD 221k-260k / year + Equity,"San Francisco, CA, USA",Full-time,,Engineering,Infrastructure,Jobs | Coinbase Job Board,2026-04-26T04:38:02.000Z
https://jobs.multicoin.capital/companies/streamingfast/jobs/76266166-software-engineer-identity-access-management#content,StreamingFast,streamingfast.com,"Software Engineer, Identity & Access Management","The Software Engineer will build the security foundation for the API Platform at StreamingFast, focusing on identity and access management. Responsibilities include designing scalable authentication systems and owning the authentication stack across multi-cloud environments.",OAuth 2.0; OpenID Connect; SAML; SCIM; RBAC; ABAC; ReBAC; Go; Python; Kubernetes,"USD 192k-273,500 / year + Equity","Los Angeles, CA, USA",Full-time,Senior,Engineering,,Jobs | Multicoin Capital Job Board,2026-04-26T04:38:01.000Z
https://www.linkedin.com/jobs/view/software-engineer-builder-tools-at-hadrian-4401972877?utm_source=Multicoin+Capital+job+board&utm_medium=getro.com&gh_src=Multicoin+Capital+job+board,Hadrian,hadrian.com,"Software Engineer, Builder Tools","As a Software Engineer on the Builder Tools team at Hadrian, you will build and maintain the CI/CD infrastructure and internal tooling that supports engineering teams. This role focuses on improving developer workflows and automating processes to enhance productivity across the organization.",CI/CD; Go; Python; TypeScript; Docker; Kubernetes; Git; API; CLI; AI coding tools,"$164,500.00/yr - $233,000.00/yr","Los Angeles, CA",Full-time,Mid,Engineering,,Jobs | Multicoin Capital Job Board,2026-04-26T04:23:01.000Z
https://coinbase.getro.com/companies/ashby/jobs/76253739-director-of-people#content,Ashby,ashby.com,Director of People,"The Director of People will lead the People function in a hyper-growth environment, initially managing a small team and scaling it over time. The role focuses on enhancing HR processes and leveraging technology to improve the People function.",HR technology; People management; Data analysis; Talent acquisition; Team leadership,$240K – $310K,Remote,Full-time,Senior,People & Talent,,Jobs | Coinbase Job Board,2026-04-26T04:08:02.000Z
https://jobs.multicoin.capital/companies/streamingfast/jobs/76266149-recruiting-coordinator#content,StreamingFast,streamingfast.com,Recruiting Coordinator,"As a Recruiting Coordinator at StreamingFast, you will be responsible for scheduling interviews, coordinating travel, and ensuring a positive experience for candidates. Your organizational skills and attention to detail will directly impact the efficiency of the hiring process.",Microsoft Outlook; Microsoft Teams; Ashby,90k-110k,"Los Angeles, CA, USA",Full-time,Mid,"Administration, People & HR",,Jobs | Multicoin Capital Job Board,2026-04-26T03:53:01.000Z
https://jobs.multicoin.capital/companies/streamingfast/jobs/76266164-manufacturing-engineer-additive-lpbf#content,StreamingFast,streamingfast.com,"Manufacturing Engineer, Additive (LPBF)","The Manufacturing Engineer, Additive (LPBF) will serve as a technical bridge between customer requirements and production-ready metal additive manufacturing solutions. This role involves evaluating part feasibility, guiding design for additive manufacturing, and supporting process development to scale programs from early engagement through qualification and production.",Additive Manufacturing; DfAM; Process Development; Metal AM; Build Planning; Parameter Optimization; Root Cause Analysis; Quality Assurance; Materials Science; Manufacturing Execution,USD 135k-200k / year,"Los Angeles, CA, USA",Full-time,Mid,Engineering,,Jobs | Multicoin Capital Job Board,2026-04-26T03:38:01.000Z
https://jobs.multicoin.capital/companies/streamingfast/jobs/76266161-manufacturing-engineer-additive-ded#content,StreamingFast,streamingfast.com,"Manufacturing Engineer, Additive (DED)","The Manufacturing Engineer, Additive (DED) will serve as a technical bridge between customer requirements and production-ready DED manufacturing solutions. This role involves evaluating part feasibility, guiding design for additive manufacturing, and supporting process development to scale DED programs.",Additive Manufacturing; Directed Energy Deposition; Design for Additive Manufacturing; Manufacturing Workflow; Process Development; Technical Problem Solving; Materials Integration; Quality Assurance; Data Analysis; Cross-Functional Coordination,USD 135k-200k / year,"Los Angeles, CA, USA",Full-time,Mid,Engineering,,Jobs | Multicoin Capital Job Board,2026-04-26T03:23:01.000Z
https://jobs.multicoin.capital/companies/streamingfast/jobs/76266154-service-desk-manager#content,StreamingFast,streamingfast.com,Service Desk Manager,"The Service Desk Manager will lead the IT support function, managing daily operations and improving service delivery processes. This role involves developing support staff and ensuring timely resolution of technical issues while collaborating with IT leadership and cross-functional teams.",Jira Service Management; Freshservice; ServiceNow; Zendesk; PowerShell; Python; Terraform; Ansible; Intune; Okta,,"Los Angeles, CA, USA",Full-time,Mid,Engineering,,Jobs | Multicoin Capital Job Board,2026-04-26T03:08:01.000Z
https://jobs.multicoin.capital/companies/streamingfast/jobs/76266152-recruiting-programs-manager#content,StreamingFast,streamingfast.com,Recruiting Programs Manager,"As the first Recruiting Programs Manager at StreamingFast, you will drive the delivery of programs and frameworks that enable the recruiting team to hire at scale. This role involves designing processes, building dashboards for performance metrics, and collaborating with various departments to align hiring goals with business outcomes.",Recruiting Operations; Program Management; Project Management; Data Analysis; Change Management; Stakeholder Management; Dashboard Creation; HR Consulting,USD 160k-200k / year,"Los Angeles, CA, USA",Full-time,Senior,People & HR,,Jobs | Multicoin Capital Job Board,2026-04-26T02:53:01.000Z
