Event Name,Date Start,Date End,Country,City,Venue,Category,Focus Areas,Estimated Size,Ticket Type,Website URL,Source Platform,Notes
Running Lab Community Run Training Block 2 - Week 5/5,2026-05-20,2026-05-20,Singapore,Singapore,Running Lab Marina Square,Event,,,,https://www.eventbrite.sg/e/running-lab-community-run-training-block-2-week-55-tickets-1989365467666,Eventbrite,
Paint-A-Bear Workshop @ Room To Imagine,2026-05-21,2026-05-21,Singapore,Singapore,"420 N Bridge Rd, #05 30",Event,,,,https://www.eventbrite.sg/e/paint-a-bear-workshop-room-to-imagine-tickets-1985287672872,Eventbrite,
Thursday In Person Networking Malaysia Business Entrepreneurs,2026-05-21,2026-05-21,Malaysia,Kuala Lumpur,Bukit Utama,Event,,,,https://www.eventbrite.sg/e/thursday-in-person-networking-malaysia-business-entrepreneurs-tickets-1988736493387,Eventbrite,
Godrej Properties NRI Expo Singapore | Invest in Premium Indian Real Estate,2026-05-23,2026-05-23,Singapore,Singapore,Novotel Singapore on Kitchener,Event,,,,https://www.eventbrite.com/e/godrej-properties-nri-expo-singapore-invest-in-premium-indian-real-estate-tickets-1989632645803,Eventbrite,
FREE Eco-workshop: The Caffeine Glow Workshop,2026-05-23,2026-05-23,Singapore,Singapore,Bukit Panjang Hawker Centre & Market,Event,,,,https://www.eventbrite.sg/e/free-eco-workshop-the-caffeine-glow-workshop-tickets-1988974400975,Eventbrite,
Free ABRSM Piano Workshop: Pieces Only,2026-05-23,2026-05-23,Singapore,Singapore,Monster Notes Music School,Event,,,,https://www.eventbrite.com/e/free-abrsm-piano-workshop-pieces-only-tickets-1986981819109,Eventbrite,
Yamaha Guitar 60th Anniversary – Beginner Acoustic Guitar Workshop,2026-05-23,2026-05-23,Singapore,Singapore,"Yamaha Thomson Plaza, Music Salon",Event,,,,https://www.eventbrite.sg/e/yamaha-guitar-60th-anniversary-beginner-acoustic-guitar-workshop-tickets-1986287453242,Eventbrite,
Women's coffee meetup,2026-05-24,2026-05-24,Singapore,Singapore,The Populus,Event,,,,https://www.eventbrite.sg/e/womens-coffee-meetup-tickets-1989444213196,Eventbrite,
EcoTrain Workshop Series: Protect the Glaciers with Just Keep Thinking!,2026-05-24,2026-05-24,Singapore,Singapore,CDL Ecotrain,Event,,,,https://www.eventbrite.sg/e/ecotrain-workshop-series-protect-the-glaciers-with-just-keep-thinking-tickets-1989198959636,Eventbrite,
Pom Pom Workshop ~ Craft your Calm,2026-05-29,2026-05-29,Singapore,Singapore,CARE Singapore,Event,,,,https://www.eventbrite.sg/e/pom-pom-workshop-craft-your-calm-tickets-1988884959453,Eventbrite,
Catwalk / Posture Workshop,2026-05-30,2026-05-30,Singapore,Singapore,2Y Club,Event,,,,https://www.eventbrite.com/e/catwalk-posture-workshop-tickets-1988823404340,Eventbrite,
"June & July AI, Coding & Robotics Summer Holiday Camp for Kids | Ages 4–19",2026-06-01,2026-06-01,Singapore,Singapore,Empire AI River Valley,Event,,,,https://www.eventbrite.sg/e/june-july-ai-coding-robotics-summer-holiday-camp-for-kids-ages-419-tickets-1988542120011,Eventbrite,
Basketball Workshop & Skills Building,2026-06-01,2026-06-10,Malaysia,Kuala Lumpur,Federal Territory of Kuala Lumpur,Event,,,,https://www.eventbrite.com/e/basketball-workshop-skills-building-registration-1985275784313,Eventbrite,
[4 June 2026] BNI Synergy Weekly Networking Meeting,2026-06-04,2026-06-04,Singapore,Singapore,Chui Huay Lim Club,Event,,,,https://www.eventbrite.sg/e/4-june-2026-bni-synergy-weekly-networking-meeting-tickets-1988602540731,Eventbrite,
Project Alleviate Tennis Workshop,2026-06-06,2026-06-06,Singapore,Singapore,Hwa Chong Institution (College Section),Event,,,,https://www.eventbrite.sg/e/project-alleviate-tennis-workshop-tickets-1988063828428,Eventbrite,
Singapore Summer Market & Food Expo,2026-06-12,2026-06-14,Singapore,Singapore,Suntec Singapore Convention & Exhibition Centre,Event,,,,https://www.eventbrite.com/e/singapore-summer-market-food-expo-tickets-1988499138452,Eventbrite,
Speak & Sketch – A Parent-Child Creative Bonding Workshop,2026-06-27,2026-06-27,Singapore,Singapore,23 Marina Wy,Event,,,,https://www.eventbrite.sg/e/speak-sketch-a-parent-child-creative-bonding-workshop-tickets-1977598868451,Eventbrite,
Pregnancy Workshop: Expecting with Confidence,2026-07-18,2026-07-18,Singapore,Singapore,3 Mount Elizabeth,Event,,,,https://www.eventbrite.sg/e/pregnancy-workshop-expecting-with-confidence-tickets-1986495936822,Eventbrite,
Indian Clubs Workshop - Singapore,2026-07-18,2026-07-19,Singapore,Singapore,Ashtanga Yoga Nilayam Singapore,Event,,,,https://www.eventbrite.com.au/e/indian-clubs-workshop-singapore-tickets-1989285696067,Eventbrite,
28 Sep - 2 Oct: Space Adventures [In collab with Show & Tell Studios],2026-09-28,2026-10-02,Singapore,Singapore,KIDS SPACE,Event,,,,https://www.eventbrite.sg/e/28-sep-2-oct-space-adventures-in-collab-with-show-tell-studios-tickets-1979651080673,Eventbrite,
