Event Name,Date Start,Date End,Country,City,Venue,Category,Focus Areas,Estimated Size,Ticket Type,Website URL,Source Platform,Notes
"DEAI 2026 International Summit: Smarter AI, Safer Digital Wealth",2026-05-19,2026-05-19,Singapore,Singapore,"Shaw Foundation Alumni House, 11 Kent Ridge Dr, #01-02, Singapore 119244",Community Event,,,,https://lu.ma/09nzo6wz,Luma,
Business Growth in Southeast Asia: AI Insights and Market Entry Strategies - AIM ASEAN Certification,2026-05-19,2026-05-19,Singapore,Singapore,"National Library / Lee Kong Chian Reference Library, 100 Victoria St, Singapore 188064",Community Event,,,,https://lu.ma/fazvg62z,Luma,
JanAI x Wipro Singapore Roundtable,2026-05-19,2026-05-19,Singapore,Singapore,"Wipro Limited (Singapore Branch), One George St, L15, Singapore 049145",Community Event,,,,https://lu.ma/jqgedvnh,Luma,
"ARK Side Bar - cocktails, rebels, real talk on food security",2026-05-19,2026-05-19,Singapore,Singapore,Singapore,Community Event,,,,https://lu.ma/28nmic7t,Luma,
"AI Automation Workshop for F&B, Retail & Hospitality",2026-05-19,2026-05-19,Singapore,Singapore,Singapore,Community Event,,,,https://lu.ma/06d6szo3,Luma,
OCBC x Data Science SG,2026-05-19,2026-05-19,Singapore,Singapore,"Lorong AI @ One-North, 69 Ayer Rajah Cres., Singapore 139961",Community Event,,,,https://lu.ma/hhybc875,Luma,
The Deep Tech Showcase 2026,2026-05-19,2026-05-19,Singapore,Singapore,"ATUM Ventures, 103 Penang Rd, #05-01, Singapore 238467",Community Event,,,,https://lu.ma/kawvmrxf,Luma,
AlphaNova Singapore – Technical Minds Meetup (AI & Quant Finance),2026-05-19,2026-05-19,Singapore,Singapore,Singapore,Community Event,,,,https://lu.ma/2f98vsd3,Luma,
Treasures Table: Tokenised Stocks and Real-World Assets,2026-05-19,2026-05-19,Malaysia,Kuala Lumpur,"Madam Kwan's Pavilion Damansara Heights, Lot 5.30 & E 5.30 (Level 5), Pavilion, Jalan Damanlela, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Community Event,,,,https://lu.ma/ztd45b7l,Luma,
From Innovation to Infrastructure for CDR in APAC,2026-05-20,2026-05-20,Singapore,Singapore,Singapore,Community Event,,,,https://lu.ma/v361sbm7,Luma,
