Event Name,Date Start,Date End,Country,City,Venue,Category,Focus Areas,Estimated Size,Ticket Type,Website URL,Source Platform,Notes
Make Friends at International Culture Exchange,2026-05-19,,Singapore,Singapore,National Library Old Chang Kee,Meetup,,,Free,https://www.meetup.com/singapores-language-culture-exchange/events/312781232/,Meetup.com,
Board Games at King and the Pawn,2026-05-19,,Singapore,Singapore,King and the Pawn,Meetup,,,Free,https://www.meetup.com/singapore-international-boardgames-meetup/events/314055704/,Meetup.com,
🌎 (Online/Free) Free English Conversation Club with global people,2026-05-19,,Singapore,Singapore,Online event,Meetup,,,Free,https://www.meetup.com/meetup-group-txqscvrf/events/314742516/,Meetup.com,
AWS User Group Meetup May 2026,2026-05-20,,Singapore,Singapore,Amazon Web Services Singapore,Meetup,,,Free,https://www.meetup.com/aws-sg/events/314625888/,Meetup.com,
AWS CendekiAwan 2026: Showcase Event,2026-05-20,,Malaysia,Kuala Lumpur,Asia Pacific University,Meetup,,,Free,https://www.meetup.com/aws-sbg-at-asia-pacific-university/events/314471252/,Meetup.com,
🎒💻️🍺 Wednesday Nomad Drink in Kuala Lumpur 🎒💻️🍺,2026-05-20,,Malaysia,Kuala Lumpur,Beer Bank,Meetup,,,Free,https://www.meetup.com/digital-nomad/events/314557839/,Meetup.com,
🌎 (Online/Free) Free English Conversation Club with global people,2026-05-20,,Malaysia,Kuala Lumpur,Online event,Meetup,,,Free,https://www.meetup.com/meetup-group-txqscvrf/events/314779634/,Meetup.com,
"AgentCamp, Singapore 2026 (In-Person)",2026-05-21,,Singapore,Singapore,Microsoft Singapore,Meetup,,,Free,https://www.meetup.com/global-ai-singapore-community/events/314456944/,Meetup.com,
"AgentCamp, Singapore 2026 (In-Person) AI Hands-on Labs",2026-05-21,,Singapore,Singapore,Microsoft Singapore,Meetup,,,Free,https://www.meetup.com/azuresg/events/314469659/,Meetup.com,
"STACK Meetup [Cybersecurity], (21 May 2026)",2026-05-21,,Singapore,Singapore,"Community Room 1 and 2, Level 8 @ GovTech Punggol Digital District",Meetup,,,Free,https://www.meetup.com/stack-community/events/314762109/,Meetup.com,
AWS User Group Meetup Kuala Lumpur– May 2026 @ The Access Group,2026-05-21,,Malaysia,Kuala Lumpur,The Access Group,Meetup,,,Free,https://www.meetup.com/awsugmy/events/314769064/,Meetup.com,
"Dinner & Life: Good food, good people",2026-05-21,,Singapore,Singapore,City Hall MRT Exit A,Meetup,,,Free,https://www.meetup.com/project-100-building-genuine-friendships/events/314593972/,Meetup.com,
Join Biggest Community | Investors Founders | Kuala Lumpur | Online,2026-05-21,,Malaysia,Kuala Lumpur,Kuala Lumpur,Meetup,,,Free,https://www.meetup.com/investor/events/314800504/,Meetup.com,
[Paid] GopherCon Singapore 2026,2026-05-22,,Singapore,Singapore,JW Marriott Grand Ballroom,Meetup,,,Free,https://www.meetup.com/golangsg/events/314210013/,Meetup.com,
Friday Dinner & Drinks | Expats Social (Biweekly),2026-05-22,,Singapore,Singapore,Chimichanga Marina,Meetup,,,Free,https://www.meetup.com/expats-working-and-living-in-singapore/events/313780607/,Meetup.com,
Chill & Cheers Friday,2026-05-22,,Malaysia,Kuala Lumpur,Marinero Mediterranean Dining & Bar @ Lalaport,Meetup,,,Free,https://www.meetup.com/friends-of-kuala-lumpur/events/314346938/,Meetup.com,
Claude Code Level 01: From Installation to Building Apps with AI,2026-05-23,,Singapore,Singapore,Online event,Meetup,,,Free,https://www.meetup.com/meetup-group-fmonpcnt/events/314736278/,Meetup.com,
Badminton @ Seri Petaling,2026-05-23,,Malaysia,Kuala Lumpur,Pioneer Badminton Center,Meetup,,,Free,https://www.meetup.com/the-kuala-lumpur-friends-meetup/events/314605861/,Meetup.com,
[Mini Hike] Maju Forest,2026-05-23,,Singapore,Singapore,King Albert Park MRT Station,Meetup,,,Free,https://www.meetup.com/i-walk-i-hike-i-eat-i-travel/events/314642222/,Meetup.com,
Our Thirty-Seventh Walk!,2026-05-23,,Singapore,Singapore,Admiralty MRT,Meetup,,,Free,https://www.meetup.com/meetup-group-ykuyqekl/events/310197144/,Meetup.com,
Off-the-Beaten-Track Hike 🌳🚶‍♀️🚶‍♂️,2026-05-23,,Singapore,Singapore,Kovan MRT,Meetup,,,Free,https://www.meetup.com/gr8-to-be-out-and-about/events/314538196/,Meetup.com,
💚 Bouldering @ BATUU (3 Damansara Mall) 🧗 ✨Beginner Friendly✨ + Dinner 🍜,2026-05-23,,Malaysia,Kuala Lumpur,Batuu Climbing Gym,Meetup,,,Free,https://www.meetup.com/klboulderclub/events/314829776/,Meetup.com,
Role of a Architect in coming Age of AI,2026-05-24,,Malaysia,Kuala Lumpur,Online event,Meetup,,,Free,https://www.meetup.com/lead-with-tech-meetup-group/events/314411097/,Meetup.com,
"SGLightTheSparks social event: Kodak Chimera, Milo Plushie, gift card giveaway",2026-05-24,,Singapore,Singapore,Timbre+ One North,Meetup,,,Free,https://www.meetup.com/sg-light-the-sparks/events/314431634/,Meetup.com,
AWS Tech & AI Essentials — Free 5-Day Live Cohort (Beginner-friendly),2026-05-25,,Singapore,Singapore,Online event,Meetup,,,Free,https://www.meetup.com/chennai-aws-training-meeting-up/events/314623270/,Meetup.com,
Monday Badminton @ Champion Court,2026-05-25,,Malaysia,Kuala Lumpur,ARENA Sport Champion,Meetup,,,Free,https://www.meetup.com/the-kuala-lumpur-friends-meetup/events/314640654/,Meetup.com,
Building an AI-First Strategy & Kiro 101,2026-05-26,,Malaysia,Kuala Lumpur,Asia Pacific University,Meetup,,,Free,https://www.meetup.com/aws-sbg-at-asia-pacific-university/events/314795148/,Meetup.com,
What’s Really Keeping You Stuck: A Fireside Chat on Alignment & Self Worth,2026-05-26,,Singapore,Singapore,One Life,Meetup,,,Free,https://www.meetup.com/superhumans/events/314507184/,Meetup.com,
May 27 - Perceptron AI and FiftyOne for Video Understanding Workshop,2026-05-27,,Malaysia,Kuala Lumpur,Online event,Meetup,,,Free,https://www.meetup.com/singapore-computer-vision-meetup/events/314738047/,Meetup.com,
