Event Name,Date Start,Date End,Country,City,Venue,Category,Focus Areas,Estimated Size,Ticket Type,Website URL,Source Platform,Notes
Running Lab Community Run Training Block 2 - Week 5/5,2026-05-20,2026-05-20,Singapore,Singapore,Running Lab Marina Square,Event,-,-,-,https://www.eventbrite.sg/e/running-lab-community-run-training-block-2-week-55-tickets-1989365467666,Eventbrite,-
Prompt to Profit — Learn Generative AI for Business and Innovation,2026-05-21,2026-05-21,Singapore,Singapore,TBD,Event,-,-,-,https://www.eventbrite.com/e/prompt-to-profit-learn-generative-ai-for-business-and-innovation-tickets-1987735427171,Eventbrite,-
The AI Extinction Event: Why Agile is the Only Way Project Managers Survive,2026-05-21,2026-05-21,Singapore,Singapore,Titansoft Pte Ltd,Event,-,-,-,https://www.eventbrite.sg/e/the-ai-extinction-event-why-agile-is-the-only-way-project-managers-survive-tickets-1988265035243,Eventbrite,-
AIMfg Tour,2026-05-21,2026-05-21,Singapore,Singapore,CleanTech Two A,Event,-,-,-,https://www.eventbrite.sg/e/aimfg-tour-tickets-1056401117179,Eventbrite,-
Building Bridges: Unlock Your Digital Potential | Business Networking,2026-05-21,2026-05-21,Singapore,Singapore,Wo Peng Cuisine,Event,-,-,-,https://www.eventbrite.sg/e/building-bridges-unlock-your-digital-potential-business-networking-tickets-1988264146585,Eventbrite,-
Human Factors: Managing Human Failures by Risk Assessment (Part 2),2026-05-21,2026-05-21,Singapore,Singapore,The Arcade,Event,-,-,-,https://www.eventbrite.sg/e/human-factors-managing-human-failures-by-risk-assessment-part-2-tickets-1988534762003,Eventbrite,-
1 Day Lead Gen/Marketing AI Bootcamp For Business Owners,2026-05-21,2026-05-21,Singapore,Singapore,Suntec Singapore Convention & Exhibition Centre,Event,-,-,-,https://www.eventbrite.sg/e/1-day-lead-genmarketing-ai-bootcamp-for-business-owners-tickets-1988987949499,Eventbrite,-
Trust-Driven Networking Private Insight Forum,2026-05-21,2026-05-21,Malaysia,Kuala Lumpur,"Level 13, Wisma Mont Kiara",Event,-,-,-,https://www.eventbrite.sg/e/trust-driven-networking-private-insight-forum-tickets-1986865381842,Eventbrite,-
(HRDC Claimable) Smart Facilities Management with Digital Technology,2026-05-21,2026-05-22,Malaysia,Kuala Lumpur,Educ8 Training Centre,Event,-,-,-,https://www.eventbrite.sg/e/hrdc-claimable-smart-facilities-management-with-digital-technology-registration-1987488562793,Eventbrite,-
AI in ASEAN: Building What Matters – Strategic Leaders’ Dialogue,2026-05-21,2026-05-21,Singapore,Singapore,Singapore,Event,-,-,-,https://lu.ma/xtip60mg,Luma,-
"Networking is better in trainers. Join Blue InCube, Glints & Factorem for Pickleball at LaunchPad.",2026-05-21,2026-05-21,Singapore,Singapore,Singapore,Event,-,-,-,https://lu.ma/25vk5lzr,Luma,-
AI Founders VIP Dinner @Google Singapore,2026-05-21,2026-05-21,Singapore,Singapore,Singapore,Event,-,-,-,https://lu.ma/googleaivip,Luma,-
Build Real Content with AI (Live Demo at MAGES),2026-05-21,2026-05-21,Singapore,Singapore,Singapore,Event,-,-,-,https://lu.ma/MAGES-Jerome-26,Luma,-
Startup Marketing on a Budget,2026-05-21,2026-05-21,Malaysia,Kuala Lumpur,Subang Jaya,Event,-,-,-,https://lu.ma/dt0gg9ir,Luma,-
The State of Trust Roadshow,2026-05-21,2026-05-21,Malaysia,Kuala Lumpur,Kuala Lumpur,Event,-,-,-,https://lu.ma/state-of-trust-roadshow-kl,Luma,-
Green Drinks KL: Sustainability 2.0 - Business as a Force for Good,2026-05-21,2026-05-21,Malaysia,Kuala Lumpur,Kuala Lumpur,Event,-,-,-,https://lu.ma/rkpykfzx,Luma,-
Startup Success Foundations: From Idea to Investable Venture,2026-05-21,2026-05-21,Malaysia,Kuala Lumpur,Petaling Jaya,Event,-,-,-,https://lu.ma/5jetximo,Luma,-
"With AI, Can Anyone Create like a Pro? Who Owns the AI-Created Contents?",2026-05-22,2026-05-22,Singapore,Singapore,Beyond X Building,Event,-,-,-,https://www.eventbrite.sg/e/with-ai-can-anyone-create-like-a-pro-who-owns-the-ai-created-contents-tickets-1988818736378,Eventbrite,-
How to Use AI to Attract Leads & Customers from the Cold Market,2026-05-22,2026-05-22,Singapore,Singapore,International Plaza,Event,-,-,-,https://www.eventbrite.sg/e/how-to-use-ai-to-attract-leads-customers-from-the-cold-market-tickets-1988315232384,Eventbrite,-
Singapore Tech Mixer and Social (Tech / AI / Data / IT) ✨,2026-05-22,2026-05-22,Singapore,Singapore,Molly Malone's Irish Pub,Event,-,-,-,https://www.eventbrite.com/e/singapore-tech-mixer-and-social-tech-ai-data-it-tickets-1986013588104,Eventbrite,-
The Heart of Leadership: Fireside Chat on Leading with Trust and Influence,2026-05-22,2026-05-22,Singapore,Singapore,"Lifelong Learning Institute, Event Hall 2-2",Event,-,-,-,https://www.eventbrite.sg/e/the-heart-of-leadership-fireside-chat-on-leading-with-trust-and-influence-tickets-1985857262530,Eventbrite,-
Exploring the Digital Frontier of Mental Health Exhibition,2026-05-22,2026-05-22,Singapore,Singapore,"MAELab @ Alexandra Hospital, Block 29, Level 2 (Please note that the building is currently under partial renovation and there will be scaffolding (in blue) on the exterior till June 2026. The Lab is still accessible to visitors via the lift facing carpark",Event,-,-,-,https://www.eventbrite.sg/e/exploring-the-digital-frontier-of-mental-health-exhibition-tickets-1978807010035,Eventbrite,-
Pichwai workshop / classes/ sessions in Singapore,2026-05-22,2026-05-22,Singapore,Singapore,Serangoon Avenue 3,Event,-,-,-,https://www.eventbrite.sg/e/pichwai-workshop-classes-sessions-in-singapore-tickets-1017183241457,Eventbrite,-
Signature Floating Sound Bath in a Hammock,2026-05-22,2026-05-22,Singapore,Singapore,"1 Teo Hong Rd, level 2",Event,-,-,-,https://www.eventbrite.sg/e/signature-floating-sound-bath-in-a-hammock-tickets-1984855492208,Eventbrite,-
Kuala Lumpur Tech Mixer and Social (Tech / AI / Data / IT) ✨,2026-05-22,2026-05-22,Malaysia,Kuala Lumpur,Blackbixon Cafe & Restaurant - Jalan Inai,Event,-,-,-,https://www.eventbrite.com/e/kuala-lumpur-tech-mixer-and-social-tech-ai-data-it-tickets-1987407828314,Eventbrite,-
(HRDF Claimable) TikTok Partner - TikTok Advertising Workshop,2026-05-22,2026-05-22,Malaysia,Kuala Lumpur,Cloud Media (Digital Advertising & Academy),Event,-,-,-,https://www.eventbrite.com/e/hrdf-claimable-tiktok-partner-tiktok-advertising-workshop-tickets-1986310364771,Eventbrite,-
Bengkel Coding Walnut - Alpha-Pi Buggy,2026-05-22,2026-05-22,Malaysia,Kuala Lumpur,PPAS Raja Tun Uda Parking (Block B),Event,-,-,-,https://www.eventbrite.sg/e/bengkel-coding-walnut-alpha-pi-buggy-tickets-1988802576042,Eventbrite,-
Shanghai Fair Healthcare Malaysia,2026-05-22,2026-05-22,Malaysia,Kuala Lumpur,Malaysia International Trade and Exhibition Centre,Event,-,-,-,https://www.eventbrite.sg/e/shanghai-fair-healthcare-malaysia-tickets-1984384734158,Eventbrite,-
